	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29	2020-03-30	2020-03-31	2020-04-01	2020-04-02	2020-04-03	2020-04-04	2020-04-05	2020-04-06	2020-04-07	2020-04-08	2020-04-09	2020-04-10	2020-04-11	2020-04-12	2020-04-13	2020-04-14	2020-04-15	2020-04-16	2020-04-17	2020-04-18	2020-04-19	2020-04-20	2020-04-21	2020-04-22	2020-04-23	2020-04-24	2020-04-25	2020-04-26	2020-04-27	2020-04-28	2020-04-29	2020-04-30	2020-05-01	2020-05-02	2020-05-03	2020-05-04	2020-05-05	2020-05-06	2020-05-07	2020-05-08
China	56.2	56.2	56.2	56.0	56.0	56.0	56.0	56.0	56.0	56.0	56.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0	58.0
Italy	409.3	462.8	521.1	591.0	679.0	778.0	886.0	978.0	1057.0	1144.0	1230.0	1333.0	1431.0	1529.0	1616.0	1683.0	1750.0	1829.0	1906.0	1982.0	2061.0	2133.0	2192.0	2243.0	2306.0	2375.0	2441.0	2518.0	2586.0	2638.0	2687.0	2732.0	2794.0	2852.0	2910.0	2960.0	2997.0	3043.0	3098.0	3142.0	3192.0	3231.0	3269.0	3298.0	3333.0	3367.0	3398.0	3431.0	3462.0	3485.0	3505.0	3523.0	3547.0	3570.0	3592.0
Iran	165.9	178.5	192.5	219.0	219.0	234.0	245.0	258.0	274.0	295.0	322.0	350.0	385.0	422.0	456.0	494.0	531.0	567.0	601.0	633.0	664.0	693.0	720.0	745.0	769.0	788.0	812.0	834.0	853.0	873.0	891.0	909.0	929.0	946.0	963.0	979.0	994.0	1010.0	1024.0	1036.0	1050.0	1064.0	1077.0	1089.0	1102.0	1115.0	1127.0	1139.0	1148.0	1160.0	1174.0	1190.0	1210.0	1228.0	1246.0
S. Korea	159.2	160.6	162.3	167.0	167.0	169.0	174.0	175.0	175.0	176.0	178.0	182.0	182.0	185.0	187.0	188.0	191.0	193.0	195.0	196.0	198.0	200.0	201.0	202.0	203.0	203.0	204.0	204.0	205.0	206.0	206.0	207.0	207.0	207.0	208.0	208.0	208.0	208.0	209.0	209.0	209.0	209.0	209.0	209.0	210.0	210.0	210.0	210.0	210.0	211.0	211.0	211.0	211.0	211.0	211.0
Spain	167.7	201.6	252.9	367.0	387.0	437.0	545.0	615.0	708.0	849.0	1018.0	1236.0	1370.0	1545.0	1685.0	1822.0	2019.0	2185.0	2358.0	2518.0	2668.0	2797.0	2888.0	3005.0	3137.0	3261.0	3359.0	3462.0	3551.0	3625.0	3690.0	3799.0	3910.0	4023.0	4101.0	4191.0	4282.0	4367.0	4457.0	4556.0	4700.0	4786.0	4847.0	4907.0	4965.0	5067.0	5125.0	5197.0	5252.0	5285.0	5311.0	5359.0	5426.0	5494.0	5563.0
Germany	69.4	86.4	111.8	156.0	183.0	224.0	267.0	297.0	347.0	394.0	445.0	564.0	599.0	689.0	724.0	763.0	814.0	914.0	1008.0	1072.0	1100.0	1193.0	1212.0	1283.0	1321.0	1379.0	1428.0	1479.0	1515.0	1530.0	1566.0	1590.0	1621.0	1661.0	1705.0	1724.0	1747.0	1767.0	1788.0	1806.0	1840.0	1859.0	1875.0	1888.0	1901.0	1921.0	1935.0	1955.0	1963.0	1974.0	1979.0	1988.0	2000.0	2022.0	2030.0
France	83.1	101.6	118.4	140.0	168.0	168.0	222.0	245.0	304.0	342.0	387.0	447.0	505.0	576.0	615.0	683.0	799.0	873.0	905.0	986.0	1378.0	1378.0	1502.0	1671.0	1730.0	1804.0	1913.0	1986.0	2031.0	2095.0	2195.0	2265.0	2528.0	2267.0	2325.0	2338.0	2380.0	2421.0	2449.0	2475.0	2449.0	2474.0	2483.0	2541.0	2541.0	2542.0	2550.0	2564.0	2580.0	2584.0	2596.0	2613.0	2669.0	2678.0	2698.0
USA	10.9	13.0	19.4	29.0	40.0	50.0	81.0	106.0	128.0	160.0	194.0	259.0	302.0	361.0	410.0	473.0	546.0	627.0	713.0	804.0	910.0	998.0	1077.0	1168.0	1265.0	1396.0	1479.0	1578.0	1664.0	1745.0	1823.0	1884.0	2017.0	2087.0	2200.0	2287.0	2361.0	2431.0	2509.0	2620.0	2731.0	2857.0	2950.0	3020.0	3088.0	3170.0	3262.0	3363.0	3470.0	3559.0	3630.0	3703.0	3785.0	3890.0	3971.0
Switzerland	256.2	271.9	316.8	387.0	478.0	620.0	793.0	864.0	988.0	1141.0	1259.0	1365.0	1494.0	1626.0	1713.0	1821.0	1870.0	1980.0	2175.0	2265.0	2343.0	2438.0	2502.0	2571.0	2686.0	2778.0	2837.0	2901.0	2936.0	2968.0	2997.0	3043.0	3089.0	3129.0	3166.0	3205.0	3229.0	3243.0	3266.0	3293.0	3313.0	3339.0	3358.0	3370.0	3381.0	3398.0	3419.0	3432.0	3445.0	3455.0	3464.0	3467.0	3473.0	3481.0	3490.0
UK	20.5	22.7	28.7	39.0	48.0	48.0	74.0	84.0	98.0	119.0	122.0	172.0	214.0	252.0	288.0	326.0	370.0	434.0	497.0	562.0	617.0	704.0	760.0	814.0	895.0	959.0	1086.0	1164.0	1241.0	1305.0	1383.0	1451.0	1519.0	1601.0	1682.0	1769.0	1838.0	1901.0	1966.0	2034.0	2113.0	2186.0	2251.0	2315.0	2374.0	2434.0	2523.0	2614.0	2685.0	2749.0	2807.0	2872.0	2962.0	3045.0	3114.0
