	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29	2020-03-30	2020-03-31	2020-04-01	2020-04-02	2020-04-03	2020-04-04	2020-04-05	2020-04-06	2020-04-07	2020-04-08	2020-04-09	2020-04-10	2020-04-11	2020-04-12	2020-04-13	2020-04-14	2020-04-15	2020-04-16	2020-04-17	2020-04-18	2020-04-19	2020-04-20	2020-04-21	2020-04-22	2020-04-23	2020-04-24	2020-04-25	2020-04-26	2020-04-27	2020-04-28	2020-04-29	2020-04-30	2020-05-01	2020-05-02	2020-05-03	2020-05-04	2020-05-05	2020-05-06	2020-05-07	2020-05-08
China	0.0398857580890444	0.04009737050217477	0.04009737050217477	0.040115108624501336	0.04023243763416981	0.04032407236136288	0.04032407236136288	0.04037156127188282	0.040397448841389835	0.040472092451438416	0.040472092451438416	0.04048209941764749	0.040521126241726935	0.04055480544985885	0.040543192914448335	0.04061112882262058	0.040667246810231775	0.040700808625336926	0.040740332439152864	0.0407621006746746	0.04076712194644344	0.040751162221678496	0.04074472506784675	0.0407378000366457	0.040729119611266434	0.04074286481275853	0.04069370643006874	0.04066455696202532	0.04062055465719948	0.040610000607570335	0.0405873137319197	0.05601509214918009	0.055996808472056	0.0559859793316009	0.05597786022453986	0.05597041977814834	0.055950137701116114	0.055943380274885865	0.05593932660257959	0.055931221020092736	0.05592379296606178	0.055933840395991793	0.055929788980636434	0.05591493881097782	0.05591223962733219	0.05590414363974226	0.05590346907993967	0.05590212000917021	0.055900096525096525	0.055899422062957733	0.05589807318750528	0.05589672437714906	0.05589604999638057
Italy	0.07944518504411859	0.08338700193206955	0.08297794565614719	0.08574892069500861	0.0900556198439658	0.09259697656329263	0.09506155458569933	0.09858910604834048	0.10086575430860646	0.10193698891908323	0.1055978172905732	0.10838956657150273	0.1103399563922243	0.11392877854116908	0.11747580157289775	0.11897010147050845	0.12074590860970827	0.1225182972118137	0.12325887412542524	0.12320470267084405	0.12465766860057187	0.12631835145221484	0.12673035819311154	0.12726804339047249	0.12772315469212686	0.12785100248898346	0.12726156443659944	0.12829434037964846	0.12965265127270936	0.1310587024310496	0.1312292457130004	0.1319055406706334	0.13202785277817253	0.13219945019332632	0.13305890921932592	0.13398783411340695	0.1339102211640607	0.13448753243882025	0.13455858731359524	0.13505945707982042	0.13478689768559504	0.13528137442707133	0.13577330587330338	0.13596868230913942	0.13611696509833887	0.13612434194033593	0.1371531758770924	0.1370748444596307	0.13720522039464372	0.13762070859525005	0.13841469385471214	0.13878568318060944	0.1390565646798812
Iran	0.06110458284371328	0.06975607105992286	0.06975607105992286	0.07294848299735288	0.0754973313925279	0.0778722617617155	0.07861512430040349	0.0779492966829229	0.07687752156049894	0.07597089029449773	0.0735494247185451	0.07108563036601898	0.06891331018820643	0.06644173996867092	0.06497029480999889	0.06379089361880949	0.06261393358167552	0.06193708515879135	0.061927058105950526	0.061879572699481335	0.06180165289256196	0.06186390579814344	0.061824544018827615	0.062065841135608577	0.06206006569685594	0.06221708149480928	0.06241107050191112	0.06254859964803622	0.06254256981449577	0.06253518176700834	0.062427078658888385	0.062369487005308574	0.062212494435376166	0.06225444283611682	0.0623794982336387	0.06246314945402232	0.06268896227731523	0.06298117803874705	0.0632015783386625	0.06325004477879276	0.06310717167140062	0.06347297533671506	0.063477490711138	0.06360442892682874	0.06369399830938292	0.06368274679547498	0.0638271400132714	0.06367014288060438	0.06363092643466096	0.06341902570771231	0.06313821938022626	0.06288844718087944	0.06247910517618516
S. Korea	0.009735576923076923	0.010624635143023937	0.010624635143023937	0.010864539990753585	0.011689333483196585	0.012387010378305993	0.012387010378305993	0.01327874294566781	0.013790084272737223	0.014894984997856837	0.014894984997856837	0.01519307870858831	0.015861421266826672	0.016354414656867818	0.016554261189454314	0.01668858096490341	0.016940657578187652	0.0172927847346452	0.017428121307601418	0.017876330956334858	0.01808634772462077	0.018584841738457068	0.01926040061633282	0.01957210016310084	0.019904306220095692	0.02013358778625954	0.020357686453576863	0.020594096991553568	0.02101476713366149	0.0212444528373147	0.021577310845189858	0.021626704278326282	0.02177790293813949	0.021949160491511115	0.022109799512834927	0.02218477955630441	0.02225547035720965	0.02242571481965988	0.02241314904744117	0.02239223735771599	0.02255779269202088	0.022629912460420936	0.02269345238095238	0.022860328965709508	0.0229447282861124	0.02301837757564508	0.023191094619666047	0.02316316130825535	0.023331173039533373	0.023509811181044057	0.02359800111049417	0.02368177613320999	0.023655516540380707
Spain	0.04507018433959073	0.04473085670962852	0.0459700171488632	0.05109739368998628	0.05416535927204268	0.06159621802002225	0.06669890295868718	0.07057163020465773	0.0723572283715948	0.07553732738033432	0.07702274465726908	0.08044513342929907	0.0838335511871978	0.08615529080345091	0.0875795672389506	0.08863671966789377	0.09158366443513126	0.09289779967717272	0.09415084658799384	0.09496860636743934	0.09752503110373838	0.09890328871049242	0.10002726838911992	0.0999567059811343	0.10168541829828147	0.10103674962311247	0.10222926291569036	0.103182375985274	0.10464759100735477	0.10459205215247168	0.10464073166462454	0.10427288628497604	0.1045398120234084	0.1043818642060997	0.1041506418260826	0.10423258137507467	0.10421375408490853	0.10401175454408892	0.10249176389217524	0.10235119034318173	0.1023258276743047	0.1025228618005248	0.1026244141163496	0.10246982891443188	0.10241655156297598	0.10216142360939637	0.10221243082335983	0.1022329052047167	0.10240796452692498	0.10222261245764504	0.10192682176898638	0.10149695353409513	0.10110450297366186
Germany	0.002775701932315576	0.0023694871206909733	0.0028720626631853785	0.0028200489517931256	0.00375603648721159	0.0037791983275037187	0.0040611233480176215	0.004759594979688353	0.005519384829729657	0.005943567832818647	0.006736019769620153	0.007452985527342058	0.007946059117360986	0.008759717811947629	0.01000293341155764	0.011209239130434782	0.012912397085825979	0.013735835615218505	0.01443298969072165	0.015735664839342158	0.01636503278914512	0.018453721453963408	0.01980162243220293	0.02121655427923444	0.021793285628302014	0.02208624614540112	0.02320340999519386	0.023734868338949208	0.02494472821529313	0.02696514499771037	0.02863599891050698	0.030208288412609426	0.03097877820706647	0.03149453623810645	0.032145247885900084	0.0334270118359185	0.034793117492705534	0.0354782861523009	0.03666993169390045	0.037353481146730684	0.0375254582484725	0.03805629120236643	0.03879074849754143	0.039616510193049716	0.04020404260962356	0.04068173352304301	0.04095380537214704	0.04135854350205282	0.0415776965485626	0.04199470337074603	0.04290616142025958	0.0436286371953019	0.04376476950750673
France	0.022639068564036226	0.028902999781037882	0.03383356070941337	0.03383356070941337	0.0388685247942458	0.04207766262954177	0.04331184528605963	0.04931850789096126	0.052748385051321685	0.058171840164637285	0.06052056789224609	0.061583499667332	0.06486782496141784	0.06787878787878789	0.06758364027010436	0.07075049570969838	0.07618644784705186	0.10113774130373962	0.08404388958678423	0.08404388958678423	0.09091929394959697	0.09469235071376833	0.09622841965471447	0.10369514815412444	0.10568675972419096	0.1066839434186373	0.10855186249443778	0.10942469238698924	0.10976043767401936	0.11610071485090928	0.1085882916128876	0.1262494171076374	0.12729836026694247	0.12923226153180667	0.13041967267976548	0.1315786143625435	0.13347761091338967	0.13530613508326628	0.13918086943464225	0.14003517289210346	0.14099938309685378	0.14045296125227627	0.14045296125227627	0.1426065782256752	0.14647277971397668	0.14696497077910434	0.1470343713627402	0.14757577374283462	0.1487118055965349	0.14969715803484002	0.14816494537605274	0.14867470293092894	0.14896722493880588
USA	0.016490354698195396	0.016377852916314453	0.013905592303066748	0.01358316657570796	0.012940651494868362	0.013074700311847338	0.01218104281035742	0.012924925832845184	0.013928097948997895	0.015196467784889969	0.01535431890200626	0.016620822847779014	0.017582466108306227	0.018316420958580642	0.0197982547877138	0.022208302214084367	0.023860362650398242	0.025548390973377542	0.027138398193651214	0.028592106737405032	0.029432064958166623	0.031752231709809176	0.034022820446661516	0.035579211562594665	0.03683068992700849	0.03845535304028182	0.039347685937656064	0.03996634558787887	0.041748412582684885	0.04426048671303556	0.05078553324585213	0.05204081632653061	0.05251183246303343	0.05302329637341846	0.053208898601644655	0.05466854051958413	0.05566645636982706	0.05642598882436727	0.05640325679503672	0.056316495618148235	0.05629250307251127	0.05620552442418071	0.056601761774099674	0.057783694211434575	0.058039063151168274	0.05833649979204676	0.05816939341140453	0.057875845347469014	0.057549148535947926	0.05813939257959901	0.05891087093444582	0.05956043956043956	0.059536101103633506
Switzerland	0.009846827133479213	0.010755900806692559	0.010404064843939027	0.010430247718383313	0.011656709893632522	0.013112122023013113	0.013806013806013808	0.01235192872329655	0.0140405616224649	0.0164253661840657	0.017868193069306933	0.018755328218243817	0.020230629172567263	0.022081218274111674	0.024403805758062527	0.0269008577930793	0.028469750889679717	0.03014383352035092	0.031610612486438504	0.03388625592417062	0.03519305375946795	0.03689390194580506	0.0384979353062629	0.03942443649671463	0.040813001507066925	0.04126339267933245	0.04353131026882355	0.04430084085954531	0.0452652683528686	0.0470458687727825	0.04792009576537483	0.048932712903464064	0.049919719748941764	0.050216294160057684	0.051137990266246776	0.05266721305633753	0.053381915947360976	0.0543585064570466	0.05502667643058897	0.05534020903993909	0.0554007088537903	0.05623371279659855	0.05805768179332969	0.05835345325942803	0.05871020077063476	0.05904729843460696	0.05902672971794614	0.05891991305801705	0.05950435275674594	0.05981538871671833	0.06004657351962741	0.06008099316205271	0.05991988611911146
Norway	0.0020408163265306124	0.0035481963335304554	0.003910614525139665	0.003657262277951933	0.003230272265805261	0.0029350104821802936	0.003926187671770711	0.004318100035984167	0.0045662100456621	0.004143237644273453	0.005111649179445789	0.005498625343664084	0.005865790708587518	0.007199100112485939	0.008423326133909288	0.009113504556752278	0.009744689144416294	0.0111404833836858	0.011171171171171172	0.012484614032002812	0.013187575915321879	0.015077079451126546	0.016595465001643116	0.01752677702044791	0.01794220387424579	0.018414481897627958	0.019429452582883568	0.02045489238284232	0.020987467914842208	0.02225519287833828	0.02219626168224299	0.023208879919273458	0.023308698123934053	0.02331166996326646	0.025396379963519008	0.025309414545960227	0.02570446735395189	0.026219263686999048	0.026732939279957013	0.02682503670092086	0.02676075089868193	0.02713794016415144	0.02703766898543116	0.026953125	0.027138795554406826	0.027027027027027032	0.02691962568901423	0.0269373164815524	0.027143581938102485	0.02711907164480323	0.027081243731193583	0.027074235807860263	0.02706393544382371
