	2020-04-04	2020-04-05	2020-04-06	2020-04-07	2020-04-08	2020-04-09	2020-04-10	2020-04-11	2020-04-12	2020-04-13	2020-04-14	2020-04-15	2020-04-16	2020-04-17	2020-04-18	2020-04-19	2020-04-20	2020-04-21	2020-04-22	2020-04-23	2020-04-24	2020-04-25	2020-04-26
China																							NaN
Italy	0.18963397563083514	0.18648629496095948	0.1836512722173881	0.17947832072487074	0.17273904289917918	0.1683046841401551	0.16273333156901146	0.15804386838032825	0.15478527370512368	0.15236839842966446	0.15133618766700596	0.14780240629172614	0.1433643668592154	0.1386005073514518	0.1347224338793705	0.13193261390551408	0.12963153708376968	0.12685377374754336	0.12379109612351155	0.1202430013374188	0.11751045449342284	0.11439133405904753	0.11246493204882176
Iran	0.6967875	0.3130430107526881	0.32526881720430106	0.2964392618975447	0.3058976204910579	0.2861797893626861	0.28112529270142805	0.27822076018164266	0.27216881558765016	0.2661431159617612	0.2605695314919665	0.25530741567626103	0.2513211316620481	0.2485127188718234	0.24495285290652066	0.2406208475042586	0.23655003229351976	0.2318749436048594	0.2278667500450456	0.22342602315234386	0.22052524585736896	0.2178333231725904	0.21475957304901583
S. Korea	0.022319309411206245	0.022194855962170964	0.02229675673683366	0.02164448653269196	0.021755526875953272	0.02183723580778707	0.02077324167927308	0.0205297377561075	0.020426682937540443	0.02047526237755553	0.020028894391378702	0.01981285263173648	0.01969838986589949	0.01946151889514935	0.019494457996241284	0.01906783829271216	0.01895796886516824	0.0187088232512688	0.018503042603368058	0.01832625250226467	0.018163929976930386	0.018008572470306353	0.017931253499586318
Spain	0.35136901408450705	0.3683352112676057	0.3803718309859155	0.3958056338028169	0.4132112676056338	0.4294253521126761	0.4424028169014084	0.4559211267605634	0.4676591549295775	0.2824933333333333	0.2875683333333333	0.296055	0.19652774045128624	0.2022005310514604	0.20610601679154614	0.21064037926104293	0.21522634187244014	0.2194919536028724	0.22401879105167533	0.2290014297539318	0.2362469496791116	0.2405415864893629	0.24362684497382367
Germany	0.10033098882912699	0.10883870827254316	0.11057422206737363	0.1169980184221414	0.12052566252204774	0.0876577430386672	0.09076954245697848	0.09399743680603877	0.09630643598426876	0.09728299922527499	0.09953053638134378	0.07707261867773846	0.07859660938104801	0.08050072988393023	0.08266347751072263	0.08355102562722863	0.08470356529351286	0.08564434315364244	0.08665512969832043	0.07301310532458391	0.07437704717926501	0.0751600955097027	0.07580563997435191
France	0.4011210502376769	0.4011210502376769	0.4370490604403935	0.4863636769020842	0.5036699456865875	0.35274574829167754	0.3740754388014631	0.3884100692915367	0.3972085666268233	0.409754738516568	0.42929896616907376	0.4429595544730937	0.4943784881683128	0.3191311774525409	0.3273785645578029	0.32907160819735065	0.3351212736864353	0.3408733085739181	0.34481367892991016	0.3483787759186649	0.3447079984989065	0.3482881926920904	0.3496081197078907
USA	0.20040872306317373	0.19096069308407845	0.191765594600644	0.19214877368079664	0.1924822955945921	0.1972123666294726	0.1966618817842176	0.1995779334788621	0.19873846522532512	0.19831817715205244	0.19877951533049826	0.1971809523327772	0.1995288935993552	0.1991877384075994	0.1988070913912672	0.19857299339494552	0.19666295430880945	0.1959678438567112	0.19455704454466471	0.19607619216468625	0.18384172447990446	0.18269446585270216	0.18135532083955402
Switzerland	0.13215589155370178	0.13354430379746834	0.13324307692307694	0.13291006934282593	0.1352115297374635	0.13471148459383753	0.1375406162464986	0.1321421052631579	0.13109907120743033	0.13254901960784313	0.1303316582914573	0.13234170854271354	0.12951550387596902	0.13119186046511627	0.1266358595194085	0.1253711646321346	0.12450432628474173	0.12332457350782673	0.1242254585724707	0.12522741854680647	0.1218990699335181	0.1228214850458232	0.11847125968202202
Norway	0.05242525858404572	0.05371935956170595	0.05177944096532763	0.05182798342347405	0.0534347123691789	0.0509113141761819	0.051132580985629617	0.05156140619090916	0.05127049633951584	0.051459094301087936	0.0515131952492436	0.05176015236222891	0.05121646585444292	0.05091899351125987	0.05037660738322308	0.0497868688716008	0.04975044501064535	0.049497862733085984	0.04893848886018728	0.04839738321443834	0.047987107171635776	0.04830298146655922	0.04841901692183723
