	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29	2020-03-30	2020-03-31	2020-04-01	2020-04-02	2020-04-03	2020-04-04	2020-04-05	2020-04-06	2020-04-07	2020-04-08	2020-04-09	2020-04-10	2020-04-11	2020-04-12	2020-04-13	2020-04-14	2020-04-15	2020-04-16	2020-04-17	2020-04-18	2020-04-19	2020-04-20	2020-04-21
China	80849	80880	80881	80928	80928	80967	81054	81093	81093	81171	81218	81340	81340	81394	81439	81470	81518	81554	81589	81620	81639	81669	81708	81740	81802	81865	81907	81953	82052	82160	82249	82295	82341	82692	82719	82735	82747	82758
Italy	24747	27980	31506	35713	41035	47021	53578	59138	63927	69176	74386	80589	86498	92472	97689	101739	105792	110574	115242	119827	124632	128948	132547	135586	139422	143626	147577	152271	156363	159516	162488	165155	168941	172434	175925	178972	181228	183957
Iran	13938	14991	16169	18407	18407	19644	20610	21638	23049	24811	27017	29406	32332	35408	38309	41495	44605	47593	50468	53183	55743	58226	60500	62589	64586	66220	68192	70029	71686	73303	74877	76389	77995	79494	80868	82211	83505	84802
S. Korea	8162	8236	8320	8565	8565	8652	8897	8961	8961	9037	9137	9332	9332	9478	9583	9661	9786	9887	9976	10062	10156	10237	10284	10331	10384	10423	10450	10480	10512	10537	10564	10591	10613	10635	10653	10661	10674	10683
Spain	7843	9428	11826	17147	18077	20412	25496	28768	33089	39676	47611	57786	64059	72248	78799	85195	94417	102136	110238	117710	124736	130759	135032	140511	146690	152446	157053	161852	166019	169496	172541	177633	182816	188093	191726	195944	200210	204178
Germany	5813	7241	9367	13083	15320	18794	22364	24873	29056	32986	37323	47278	50178	57695	60659	63929	68180	76544	84415	89838	92150	99964	101558	107458	110698	115523	119624	123878	126921	128208	131170	133209	135843	139134	142872	144406	146398	148024
France	5423	6633	7730	9134	10995	10995	14459	16018	19856	22304	25233	29155	32964	37575	40174	44550	52128	56989	59105	64338	89953	89953	98010	109069	112950	117749	124869	129654	132591	136779	143303	147863	165027	147969	151793	152578	155383	158050
USA	3621	4314	6428	9464	13304	16491	26892	34953	42443	52921	64115	85612	100037	119609	135874	156690	180723	207535	236040	266279	301160	330231	356414	386587	418572	462180	489646	522320	550655	577636	603496	623694	667572	690900	728293	756856	781561	804759
Switzerland	2217	2353	2742	3347	4133	5369	6863	7474	8547	9877	10897	11811	12928	14076	14829	15760	16186	17137	18827	19606	20278	21100	21652	22253	23248	24046	24551	25107	25407	25688	25936	26336	26732	27078	27404	27740	27944	28063
UK	1391	1543	1950	2626	3269	3269	5018	5683	6650	8077	8264	11658	14543	17089	19522	22141	25150	29474	33718	38168	41903	47806	51608	55242	60733	65077	73758	78991	84279	88621	93873	98476	103093	108692	114217	120067	124743	129044
