	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29	2020-03-30	2020-03-31	2020-04-01	2020-04-02	2020-04-03	2020-04-04	2020-04-05	2020-04-06	2020-04-07	2020-04-08	2020-04-09	2020-04-10	2020-04-11	2020-04-12	2020-04-13	2020-04-14	2020-04-15	2020-04-16	2020-04-17	2020-04-18	2020-04-19	2020-04-20	2020-04-21	2020-04-22	2020-04-23	2020-04-24	2020-04-25	2020-04-26	2020-04-27
China	3226	3245	3245	3248	3261	3270	3270	3277	3281	3292	3292	3295	3300	3304	3305	3312	3318	3322	3326	3329	3331	3331	3333	3335	3336	3339	3339	3341	3341	3342	3342	4632	4632	4632	4632	4632	4632	4632	4632	4632	4632	4633
Italy	2503	2978	3405	4032	4825	5476	6077	6820	7503	8215	9134	10023	10779	11591	12428	13155	13915	14681	15362	15887	16523	17127	17669	18279	18849	19468	19899	20465	21067	21645	22170	22745	23227	23660	24114	24648	25085	25549	25969	26384	26644	26977
Iran	988	1284	1284	1433	1556	1685	1812	1934	2077	2234	2378	2517	2640	2757	2898	3036	3160	3294	3452	3603	3739	3872	3993	4110	4232	4357	4474	4585	4683	4777	4869	4958	5031	5118	5209	5297	5391	5481	5574	5650	5710	5806
S. Korea	81	91	91	94	104	111	111	120	126	139	139	144	152	158	162	165	169	174	177	183	186	192	200	204	208	211	214	217	222	225	229	230	232	234	236	237	238	240	240	240	242	243
Spain	533	767	831	1043	1381	1772	2207	2800	3445	4365	4934	5812	6606	7340	8269	9053	10096	10935	11744	12418	13169	13897	14673	15238	15970	16353	16972	17489	18056	18579	19130	19613	20043	20453	20852	21282	21717	22157	22524	22902	23190	23521
Germany	26	31	44	53	84	94	118	157	206	281	338	430	482	560	682	858	1090	1234	1330	1573	1662	1983	2192	2451	2607	2736	2945	3043	3272	3592	3890	4203	4426	4548	4706	4948	5211	5369	5653	5819	5896	6021
France	175	264	372	372	562	674	860	1100	1331	1696	1995	2314	2606	3024	3523	4032	4503	6507	7560	7560	8911	10328	10869	12210	13197	13832	14393	14967	15729	17167	17920	18681	19323	19718	20265	20796	21340	21856	22245	22614	22856	23293
USA	106	155	185	224	348	457	517	684	893	1301	1536	1988	2389	2870	3578	4609	5632	6803	8173	9442	10490	12275	14241	16444	18034	20086	21667	23086	25195	27605	33903	35955	38244	40131	41586	43995	46235	48925	50993	53266	54964	56189
Switzerland	27	36	43	56	80	98	118	122	153	194	231	264	300	348	395	461	536	591	641	715	762	821	895	948	1002	1036	1106	1138	1174	1239	1281	1325	1368	1393	1429	1478	1509	1549	1578	1599	1610	1640
Norway	3	6	7	7	7	7	10	12	14	14	19	22	25	32	39	44	50	59	62	71	76	89	101	108	113	118	126	134	139	150	152	161	164	165	181	182	187	193	199	201	201	205
UK	71	108	144	184	233	281	335	422	435	578	759	1019	1228	1408	1789	2352	2921	3605	4313	4934	5373	6159	7097	7978	8958	9875	10612	11329	12107	12868	13729	14576	15464	16060	16509	17337	18100	18738	19506	20319	20732	21092
Netherlands	43	58	76	106	136	179	213	276	356	434	546	639	771	864	1039	0	0	0	1651	1766	1867	2101	2248	2396	2511	2643	2737	2823	2945	3134	3315	3459	3601	3684	3751	3916	4054	4177	4289	4409	4475	4518
Sweden	8	10	11	16	20	21	25	36	44	77	92	105	110	146	180	239	282	358	373	401	477	591	687	793	870	887	899	919	1033	1203	1333	1400	1511	1540	1580	1765	1937	2021	2152	2192	2194	2274
Belgium	10	21	21	37	67	75	88	122	178	220	289	353	431	513	705	828	1011	1143	1283	1447	1632	2035	2240	2523	3019	3346	3600	3903	4157	4440	4857	5163	5453	5683	5828	5998	6262	6490	6679	6917	7094	7207
Denmark	4	6	6	9	13	13	24	32	34	41	52	65	72	77	90	104	123	139	161	179	187	203	218	237	247	260	273	285	299	309	321	336	346	355	364	370	384	394	403	418	422	427
Japan	29	32	33	33	36	41	42	43	45	47	47	49	54	54	56	57	57	63	69	77	85	92	93	94	99	99	108	123	143	146	178	190	190	236	236	263	281	299	328	345	360	372
Malaysia	2	2	2	3	9	10	14	16	20	24	26	27	35	37	43	45	50	53	57	61	62	63	65	67	70	73	76	77	82	83	84	86	88	89	89	92	93	95	96	98	98	99
Qatar	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	3	3	3	4	4	6	6	6	6	6	7	7	7	7	7	7	8	8	9	9	10	10	10	10	10	10
Australia	5	6	6	7	7	7	7	8	9	13	13	14	16	18	19	21	27	28	30	35	41	48	50	51	53	56	59	61	61	63	63	65	69	71	71	71	74	75	79	80	83	83
Canada	8	9	10	12	19	20	23	25	30	39	53	55	63	67	95	108	134	178	228	277	321	375	427	504	556	648	713	767	898	1006	1191	1310	1466	1583	1680	1831	1966	2141	2294	2462	2560	2701
Portugal	1	3	4	6	12	14	23	33	43	60	76	100	119	140	160	187	209	246	266	295	311	345	380	409	435	470	504	535	567	599	629	657	687	714	735	762	785	820	854	880	903	928
Finland	0	0	0	0	1	1	1	1	3	5	7	9	11	13	17	17	19	20	25	28	27	34	40	42	48	49	56	59	64	72	75	82	90	94	98	141	149	172	177	186	190	193
